asset,date,forks,stars,subscribers,total_issues,closed_issues,pull_requests_merged,pull_request_contributors,commit_count_4_weeks,blockcount,medianfee,txcount,activeaddresses,label
bch,2017-08-30,80,169,60,54,31,13,3,0,86,0.000113,15867,97424,1
bch,2017-08-31,81,171,62,54,31,13,3,0,86,0.00014894,13568,70395,1
bch,2017-09-01,81,173,62,54,31,13,3,0,116,9.6e-05,10362,33396,1
bch,2017-09-02,83,174,62,54,31,13,3,0,134,9.6e-05,7858,21607,1
bch,2017-09-03,84,175,62,54,31,13,3,0,131,9.6e-05,7515,25534,1
bch,2017-09-04,84,175,62,54,31,13,3,0,129,9.6e-05,7599,21795,1
bch,2017-09-05,84,176,62,54,31,13,3,0,112,5.978e-05,7328,23292,1
bch,2017-09-11,94,183,64,56,32,13,3,41,174,2.588e-05,7256,18271,0
bch,2017-09-14,96,191,70,58,32,13,3,41,186,7.48e-05,7296,18483,0
bch,2017-09-15,96,193,71,58,32,13,3,41,170,7.48e-05,8634,81860,0
bch,2017-09-25,99,196,69,60,33,13,3,28,282,5e-05,8976,37335,0
bch,2017-09-26,99,197,69,60,33,13,3,26,313,3.74e-05,6464,16249,0
bch,2017-09-29,100,197,69,61,33,13,3,12,13,3.4e-05,5755,15601,0
bch,2017-09-30,102,197,69,61,33,13,3,12,588,5e-05,8445,23008,0
bch,2017-10-05,104,199,70,61,33,13,3,1,1129,5e-05,8625,21231,0
bch,2017-10-06,104,200,72,62,33,13,3,28,34,3.84e-05,6088,22466,0
bch,2017-10-07,104,201,70,62,33,13,3,27,141,5e-05,5044,12825,0
bch,2017-10-08,105,202,70,62,33,13,3,28,107,5e-05,6828,18005,0
bch,2017-10-09,105,202,70,62,33,13,3,28,91,5e-05,9074,22439,0
bch,2017-10-10,105,203,71,62,33,13,3,26,112,5e-05,8335,21649,0
bch,2017-10-11,105,205,71,62,33,13,3,26,100,4.52e-05,7284,22137,0
bch,2017-10-12,105,205,71,62,33,13,3,26,556,3.74e-05,12256,45290,0
bch,2017-10-14,106,206,71,62,33,13,3,25,94,0.0002,12997,175291,0
bch,2017-10-20,111,208,73,63,33,13,3,30,120,1e-05,18183,31812,0
bch,2017-11-15,137,278,95,82,38,13,3,23,169,5.595e-05,24790,63557,1
