asset,blockcount,medianfee,txcount,activeaddresses,label,date
bch,86,0.000113,15867,97424,1,1504051200
bch,86,0.00014894,13568,70395,1,1504137600
bch,116,9.6e-05,10362,33396,1,1504224000
bch,134,9.6e-05,7858,21607,1,1504310400
bch,131,9.6e-05,7515,25534,1,1504396800
bch,129,9.6e-05,7599,21795,1,1504483200
bch,112,5.978e-05,7328,23292,1,1504569600
bch,140,9.6e-05,8578,25853,1,1504656000
bch,207,7.04e-05,8677,22843,1,1504742400
bch,188,5e-05,7552,20130,1,1504828800
bch,158,4.693e-05,6257,18439,1,1504915200
bch,155,5.22e-05,5430,13683,1,1505001600
bch,174,2.588e-05,7256,18271,0,1505088000
bch,193,2.6e-05,5993,14463,0,1505174400
bch,172,3.42e-05,6356,16557,0,1505260800
bch,186,7.48e-05,7296,18483,0,1505347200
bch,170,7.48e-05,8634,81860,0,1505433600
bch,171,9.143e-05,7809,17394,0,1505520000
bch,177,3.74e-05,5027,13562,0,1505606400
bch,357,9.6e-05,8675,21334,0,1505692800
bch,266,7.355e-05,9520,24951,0,1505779200
bch,248,7.48e-05,8099,20914,0,1505865600
bch,34,4.52e-05,5859,16232,0,1505952000
bch,410,4.08e-05,6746,17598,0,1506038400
bch,352,2.6e-05,5601,14097,0,1506124800
bch,264,3.74e-05,6580,16448,0,1506211200
bch,282,5e-05,8976,37335,0,1506297600
bch,313,3.74e-05,6464,16249,0,1506384000
bch,276,2.6e-05,8802,20965,0,1506470400
bch,73,5e-05,7926,19608,0,1506556800
bch,13,3.4e-05,5755,15601,0,1506643200
bch,588,5e-05,8445,23008,0,1506729600
bch,970,4.683e-05,7883,20179,0,1506816000
bch,437,4.52e-05,7252,19559,0,1506902400
bch,14,3.74e-05,4542,14637,0,1506988800
bch,848,4.52e-05,9481,27618,0,1507075200
bch,1129,5e-05,8625,21231,0,1507161600
bch,34,3.84e-05,6088,22466,0,1507248000
bch,141,5e-05,5044,12825,0,1507334400
bch,107,5e-05,6828,18005,0,1507420800
bch,91,5e-05,9074,22439,0,1507507200
bch,112,5e-05,8335,21649,0,1507593600
bch,100,4.52e-05,7284,22137,0,1507680000
bch,556,3.74e-05,12256,45290,0,1507766400
bch,929,6.262e-05,14947,84118,0,1507852800
bch,94,0.0002,12997,175291,0,1507939200
bch,42,5.086e-05,8288,39054,0,1508025600
bch,56,1.93e-05,9968,30123,0,1508112000
bch,31,5e-05,13193,36028,0,1508198400
bch,95,5e-05,10049,24757,0,1508284800
bch,115,4.52e-05,9348,19841,0,1508371200
bch,120,1e-05,18183,31812,0,1508457600
bch,75,5.595e-05,9069,23549,0,1508544000
bch,14,3.74e-05,7376,19428,0,1508630400
bch,108,3.616e-05,9250,30712,0,1508716800
bch,158,4.52e-05,8717,25254,0,1508803200
bch,172,3.322e-05,10485,28136,0,1508889600
bch,399,6.78e-05,9350,24523,0,1508976000
bch,1168,5e-05,11743,26735,0,1509062400
bch,1254,5e-05,11800,25483,1,1509148800
bch,93,4.52e-05,12962,32058,1,1509235200
bch,73,5e-05,14855,33366,1,1509321600
bch,77,5e-05,11353,25877,1,1509408000
bch,80,5e-05,13645,31770,1,1509494400
bch,81,4.52e-05,17751,40019,1,1509580800
bch,355,4.52e-05,22425,47349,1,1509667200
bch,300,5e-05,15077,35483,1,1509753600
bch,182,5.595e-05,16958,42976,1,1509840000
bch,223,5.595e-05,19297,44637,1,1509926400
bch,222,5e-05,17192,48809,1,1510012800
bch,218,5.595e-05,23218,51074,1,1510099200
bch,141,5.595e-05,24815,53376,1,1510185600
bch,454,2.46e-05,46855,103366,1,1510272000
bch,744,1.92e-05,46787,100078,1,1510358400
bch,869,1.7e-05,76458,167099,1,1510444800
bch,61,4.499e-05,35112,100173,1,1510531200
bch,136,5.595e-05,24406,65645,1,1510617600
bch,169,5.595e-05,24790,63557,1,1510704000
bch,82,5.595e-05,28469,71603,1,1510790400
bch,156,0.0001114,22432,81418,1,1510876800
bch,166,5e-05,22013,47696,1,1510963200
bch,133,2.6e-05,14869,39875,1,1511049600
bch,141,2.26e-05,15738,39022,1,1511136000
bch,153,3e-05,18071,40440,1,1511222400
bch,149,3e-05,18927,43924,1,1511308800
bch,161,1.108e-05,27057,65849,1,1511395200
bch,131,1.13e-05,24345,116711,1,1511481600
bch,147,1.527e-05,18565,43693,1,1511568000
bch,141,1.264e-05,18929,44139,1,1511654400
bch,122,1.499e-05,20146,47009,1,1511740800
bch,145,1.424e-05,23380,51960,1,1511827200
bch,142,1.313e-05,28233,61369,1,1511913600
bch,134,1.13e-05,21815,47112,1,1512000000
bch,148,1.264e-05,19169,41612,1,1512086400
bch,137,1.52e-05,17581,38808,1,1512172800
bch,143,1.274e-05,21761,45152,1,1512259200
bch,142,1.391e-05,21854,44359,1,1512345600
bch,148,1.264e-05,20813,46341,1,1512432000
bch,156,1.355e-05,26703,86238,1,1512518400
bch,76,1.13e-05,24274,64701,1,1512604800
bch,173,1.547e-05,27341,61820,1,1512691200
bch,148,1.13e-05,18108,42200,1,1512777600
